target_id	length	eff_length	est_counts	tpm
XP_029143084.1_1	1203	1033.46	235	9.97304
XP_015680198.1_2	4665	4930.9	842	7.48928
XP_015687298.1_3	696	442.534	25.6448	2.5416
XP_015665765.1_4	2061	1966.99	303	6.75608
XP_015666892.1_5	597	346.647	98	12.3992
XP_029139238.1_6	1026	824.696	195	10.3704
XP_015672503.1_7	2103	2002.64	370.837	8.12148
XP_015674734.1_8	3069	3132.82	403	5.64188
XP_015673617.1_9	360	80.6929	62	33.6985
XP_015675845.1_10	1059	863.479	133	6.75545
XP_015676935.1_11	972	734.066	50.5	3.01725
XP_015678366.1_12	972	734.066	50.5	3.01725
XP_015677654.1_13	864	613.635	0	0
XP_015679465.1_14	2586	2605.82	414.124	6.97014
XP_015680546.1_15	420	140.693	97	30.2381
XP_029141162.1_16	1881	1730.44	320	8.11048
XP_015669140.1_17	573	317.921	1451	200.172
XP_029142589.1_18	13848	15323.1	2211	6.32845
XP_015683337.1_19	1833	1691.38	0	0
XP_015682634.1_20	1836	1694.93	297	7.68529
XP_015685037.1_21	2289	2141.62	0	0
XP_015684353.1_22	2340	2228.68	383	7.53712
XP_015686033.1_23	261	54.8693	59	47.1604
XP_015686929.1_24	2136	2047.15	232	4.97041
XP_015687480.1_25	1008	807.505	257	13.9586
XP_015687593.1_26	672	441.095	101	10.0425
XP_015687037.1_27	1671	1579.56	253.972	7.05187
XP_015687703.1_28	1362	1211.61	167	6.04516
XP_015687147.1_29	1422	1279.12	229	7.85196
XP_029143147.1_30	1566	1425.64	243	7.47569
XP_015687929.1_31	2682	2657.69	594	9.80248
XP_015665398.1_32	954	756.606	67.5	3.91281
XP_015665473.1_33	954	756.606	67.5	3.91281
XP_015665546.1_34	933	720.274	0	0
XP_015667036.1_35	654	422.873	64.153	6.65367
XP_015665655.1_36	801	573.974	112	8.55816
XP_015665766.1_37	1875	1773.38	340	8.40874
XP_015665881.1_38	1098	922.341	159	7.56067
XP_015665994.1_39	1599	1442.33	161.061	4.89757
XP_015666064.1_40	1254	1057.26	29.9388	1.24196
XP_015666249.1_41	930	711.354	88.8357	5.47717
XP_015666179.1_42	930	711.846	66.1643	4.07655
XP_015687256.1_43	1083	859.193	186	9.49461
XP_015667143.1_44	354	74.6929	102	59.8929
XP_015666359.1_45	450	170.693	65	16.7014
XP_015666470.1_46	1506	1378.44	342	10.8816
XP_015687374.1_47	2010	1877.11	539	12.5937
XP_015666585.1_48	3540	3636.76	685	8.26096
XP_015666813.1_49	912	698.14	193	12.1247
XP_015666700.1_50	933	744.166	178	10.4907
XP_015666930.1_51	624	376.464	100	11.6501
XP_015667260.1_52	783	552.732	37	2.9359
XP_015667488.1_53	1464	1328.88	129	4.25755
XP_015668016.1_54	2667	2567.19	110	1.87927
XP_015667600.1_55	2226	2229.29	274	5.39062
XP_015667716.1_56	471	191.693	68	15.5581
XP_015667830.1_57	1641	1550.21	288.153	8.15241
XP_015667904.1_58	1392	1265.08	19.8474	0.688083
XP_029139139.1_59	3744	3934.82	486	5.41709
XP_015668246.1_60	1128	954.464	402.614	18.5005
XP_015668361.1_61	2613	2604.06	348.753	5.87384
XP_015669141.1_62	1797	1659.26	238	6.29095
XP_029139423.1_63	2127	2074.53	372	7.86463
XP_015669253.1_64	1080	896.164	210	10.2775
XP_015669330.1_65	1062	863.735	0	0
XP_015668584.1_66	1857	1600.16	131	3.59057
XP_015668691.1_67	1176	907.443	84	4.05989
XP_015671126.1_68	1158	882.987	82	4.073
XP_015669447.1_69	2778	2868.78	567	8.66842
XP_015668804.1_70	1383	1207.84	227	8.24275
XP_015668918.2_71	684	453.836	171	16.5254
XP_015671244.1_72	699	470.181	163.225	15.2257
XP_015669564.1_73	2109	2013.59	292	6.36013
XP_015669781.1_74	876	654.977	180	12.0532
XP_015669671.1_75	1338	1145.5	101.146	3.87265
XP_015669891.1_76	1338	1145.21	149.854	5.73902
XP_015671357.1_77	420	140.693	68	21.1978
XP_015670158.1_78	1977	1860.87	130.608	3.07828
XP_015670086.1_79	2001	1890.35	173.392	4.02291
XP_015670379.1_80	696	450.106	137	13.3494
XP_015670492.2_81	3033	3053.45	484	6.95198
XP_029139499.1_82	1353	1206.31	187	6.7989
XP_015670790.1_83	753	518.009	115	9.73677
XP_015670603.1_84	1203	1050.5	121.5	5.07262
XP_015670680.1_85	1203	1050.5	121.5	5.07262
XP_029139857.1_86	1482	1355.57	270.03	8.73662
XP_015671471.1_87	1338	1211.06	316	11.4439
XP_015670900.1_88	1785	1660.26	261	6.89475
XP_015671013.1_89	1944	1855.26	300	7.09202
XP_029139962.1_90	2536	2534.5	366	6.3335
XP_029140141.1_91	1002	783.655	97	5.42877
XP_015671651.1_92	909	671.023	42	2.74515
XP_015671724.1_93	909	671.023	42	2.74515
XP_015671799.1_94	909	671.023	42	2.74515
XP_015671876.1_95	909	671.023	42	2.74515
XP_015671951.1_96	870	624.181	0	0
XP_015672393.1_97	312	33.4641	36	47.1822
XP_015672062.1_98	381	101.693	46.4571	20.0363
XP_015672174.1_99	381	101.693	20.2338	8.72655
XP_015672282.1_100	312	33.4641	16	20.9699
XP_015673057.1_101	501	221.693	55	10.8809
XP_015672832.1_102	3459	3501.21	514.493	6.44489
XP_015673167.1_103	1341	1170.23	263	9.85685
XP_015673279.1_104	609	357.521	68	8.34185
XP_015672945.1_105	1050	869.635	213	10.7423
XP_015672724.1_106	300	24.9711	60	105.382
XP_015674175.1_107	1325	1193.03	66	2.42631
XP_015674246.1_108	1325	1193.03	66	2.42631
XP_015674319.1_109	1325	1193.03	66	2.42631
XP_029140317.1_110	1074	879.219	147	7.33288
XP_029140492.1_111	2703	2701.44	589	9.56257
XP_015674547.1_112	1077	879.083	38	1.89587
XP_015674621.1_113	1077	879.083	38	1.89587
XP_015674735.1_114	675	437.419	131	13.1349
XP_015674840.1_115	2187	2120.6	403	8.33492
XP_015673618.1_116	3030	3035.17	328	4.73965
XP_029140535.1_117	3012	3005.11	477	6.96165
XP_015673846.1_118	996	782.475	118	6.61403
XP_015673955.1_119	2085	2016.46	340	7.39509
XP_015674062.2_120	582	331.879	106	14.0082
XP_029140609.1_121	690	474.253	98	9.06298
XP_015674950.1_122	3753	3806.62	408	4.70084
XP_015675064.1_123	1206	946.003	185	8.57697
XP_029140660.1_124	1242	1062.83	227	9.36734
XP_029140683.1_125	2151	2081.85	401	8.44791
XP_029140703.1_126	1833	1734.05	1083	27.3918
XP_015676029.1_127	5769	6175.94	920	6.5334
XP_015676142.1_128	2781	2838.12	401	6.19681
XP_015678294.1_129	1044	858.797	69.5943	3.55416
XP_015678224.1_130	1203	1031.6	126.406	5.37416
XP_015676254.1_131	3021	3053.99	483	6.9364
XP_029140750.1_132	1584	1348.71	196	6.37369
XP_015676503.1_133	2571	2597.91	433	7.31001
XP_029140975.1_134	1545	1390.37	217	6.84518
XP_015676684.1_135	891	678.249	276	17.8474
XP_015676789.1_136	1569	1437.9	310	9.45557
XP_015677004.1_137	1983	1918.67	445	10.1722
XP_015676896.1_138	3864	3951.76	9.89916e-06	1.09866e-07
XP_029141036.1_139	3879	3969.36	605	6.68481
XP_015677115.1_140	897	687.512	173	11.0362
XP_029140787.1_141	9558	10336.1	1673.36	7.10045
XP_015677333.1_142	1638	1549.32	295	8.35093
XP_029140771.1_143	1521	1348.5	164	5.33395
XP_015677447.1_144	2859	2904.85	609	9.19492
XP_015677548.1_145	954	764.283	262	15.0349
XP_015677655.1_146	3342	3484.23	325	4.09102
XP_015677912.1_147	1053	824.002	98.4234	5.23871
XP_015677838.1_148	1158	936.186	55.3131	2.59131
XP_015677766.1_149	1251	1028.31	75.2635	3.21006
XP_029140807.1_150	1926	1815.6	248	5.99082
XP_029141301.1_151	1599	1421.84	309	9.53152
XP_029141287.1_152	1602	1402.87	0	0
XP_029140837.1_153	1221	1033.46	217	9.20919
XP_015678114.1_154	597	335.163	94	12.3006
XP_029141382.1_155	5773	5729.7	651.695	4.98846
XP_029141531.1_156	444	164.693	134	35.6849
XP_015678698.1_157	444	164.693	124	33.0218
XP_029141472.1_158	618	359.444	145	17.6926
XP_015679573.1_159	867	646.347	137	9.29629
XP_015679829.1_160	2067	1999.31	127.218	2.79077
