target_id	length	eff_length	est_counts	tpm
lcl|NW_015386077.1_cds_XP_029143084.1_1	1203	1030.93	281	13.377
lcl|NW_015386077.1_cds_XP_015680198.1_2	4665	4885.92	854	8.57813
lcl|NW_015386077.1_cds_XP_015687298.1_3	696	421.915	0	0
lcl|NW_015386077.1_cds_XP_015665765.1_4	2061	1933.69	239	6.06586
lcl|NW_015386078.1_cds_XP_015666892.1_5	597	352.942	92	12.7928
lcl|NW_015386079.1_cds_XP_029139238.1_6	1026	829.517	224	13.2527
lcl|NW_015386079.1_cds_XP_015672503.1_7	2103	1989.95	335.554	8.27564
lcl|NW_015386079.1_cds_XP_015674734.1_8	3069	3090.73	442	7.01847
lcl|NW_015386079.1_cds_XP_015673617.1_9	360	85.9152	73	41.6998
lcl|NW_015386079.1_cds_XP_015675845.1_10	1059	865.826	131	7.42543
lcl|NW_015386079.1_cds_XP_015676935.1_11	972	742.51	62	4.09799
lcl|NW_015386079.1_cds_XP_015678366.1_12	972	742.51	62	4.09799
lcl|NW_015386079.1_cds_XP_015677654.1_13	864	623.245	0	0
lcl|NW_015386079.1_cds_XP_015679465.1_14	2586	2581.1	526.349	10.0081
lcl|NW_015386079.1_cds_XP_015680546.1_15	420	145.915	83	27.9163
lcl|NW_015386079.1_cds_XP_029141162.1_16	1881	1715.87	354	10.1251
lcl|NW_015386079.1_cds_XP_015669140.1_17	573	321.309	1515	231.404
lcl|NW_015386079.1_cds_XP_029142589.1_18	13848	15382.9	2448	7.81008
lcl|NW_015386079.1_cds_XP_015683337.1_19	1833	1680.48	0	0
lcl|NW_015386079.1_cds_XP_015682634.1_20	1836	1699.21	357	10.311
lcl|NW_015386079.1_cds_XP_015685037.1_21	2289	2149.91	1.09827e-08	2.50709e-10
lcl|NW_015386079.1_cds_XP_015684353.1_22	2340	2205.59	368	8.18849
lcl|NW_015386079.1_cds_XP_015686033.1_23	261	32.8278	73	109.134
lcl|NW_015386080.1_cds_XP_015686929.1_24	2136	2035.82	184	4.43566
lcl|NW_015386080.1_cds_XP_015687480.1_25	1008	805.057	229	13.9601
lcl|NW_015386080.1_cds_XP_015687593.1_26	672	442.19	121	13.4294
lcl|NW_015386080.1_cds_XP_015687037.1_27	1671	1570.01	199.56	6.23807
