target_id	length	eff_length	est_counts	tpm
lcl|NW_015386077.1_cds_XP_029143084.1_1	1203	1187.17	43	4.1314
lcl|NW_015386077.1_cds_XP_015680198.1_2	4665	4551.11	106	2.65661
lcl|NW_015386077.1_cds_XP_015687298.1_3	696	668.938	16.6739	2.84309
lcl|NW_015386077.1_cds_XP_015665765.1_4	2061	1954.52	7	0.408505
lcl|NW_015386078.1_cds_XP_015666892.1_5	597	557.243	8	1.63751
lcl|NW_015386079.1_cds_XP_029139238.1_6	1026	987.949	0	0
lcl|NW_015386079.1_cds_XP_015672503.1_7	2103	2033.1	627.297	35.1929
lcl|NW_015386079.1_cds_XP_015674734.1_8	3069	3041.91	151	5.662
lcl|NW_015386079.1_cds_XP_015673617.1_9	360	328.823	12	4.16254
lcl|NW_015386079.1_cds_XP_015675845.1_10	1059	970.651	168	19.7418
lcl|NW_015386079.1_cds_XP_015676935.1_11	972	957.968	158.939	18.9242
lcl|NW_015386079.1_cds_XP_015678366.1_12	972	957.968	158.939	18.9242
lcl|NW_015386079.1_cds_XP_015677654.1_13	864	858.518	235.123	31.2382
lcl|NW_015386079.1_cds_XP_015679465.1_14	2586	2510.8	175.995	7.99515
lcl|NW_015386079.1_cds_XP_015680546.1_15	420	388.474	153	44.923
lcl|NW_015386079.1_cds_XP_029141162.1_16	1881	1845.07	115	7.10925
lcl|NW_015386079.1_cds_XP_015669140.1_17	573	556.347	29	5.94555
lcl|NW_015386079.1_cds_XP_029142589.1_18	13848	14237.5	15	0.120171
lcl|NW_015386079.1_cds_XP_015683337.1_19	1833	1855.13	104.396	6.41872
lcl|NW_015386079.1_cds_XP_015682634.1_20	1836	1857.77	99.6043	6.11541
lcl|NW_015386079.1_cds_XP_015685037.1_21	2289	2371.91	175	8.4155
lcl|NW_015386079.1_cds_XP_015684353.1_22	2340	2410.63	0	0
lcl|NW_015386079.1_cds_XP_015686033.1_23	261	235.367	130	62.9997
lcl|NW_015386080.1_cds_XP_015686929.1_24	2136	2196.02	45	2.3373
lcl|NW_015386080.1_cds_XP_015687480.1_25	1008	923.207	267	32.9877
lcl|NW_015386080.1_cds_XP_015687593.1_26	672	654.858	19	3.30938
lcl|NW_015386080.1_cds_XP_015687037.1_27	1671	1679.06	19.6437	1.33443
lcl|NW_015386080.1_cds_XP_015687703.1_28	1362	1270.63	282	25.3144
lcl|NW_015386080.1_cds_XP_015687147.1_29	1422	1415.07	287	23.1336
lcl|NW_015386080.1_cds_XP_029143147.1_30	1566	1575.3	35	2.53422
lcl|NW_015386080.1_cds_XP_015687929.1_31	2682	2789.65	474	19.3806
lcl|NW_015386080.1_cds_XP_015665398.1_32	954	901.286	251.381	31.8134
lcl|NW_015386080.1_cds_XP_015665473.1_33	954	901.286	251.381	31.8134
lcl|NW_015386080.1_cds_XP_015665546.1_34	933	885.154	305.238	39.3332
lcl|NW_015386080.1_cds_XP_015667036.1_35	654	615.949	0	0
lcl|NW_015386080.1_cds_XP_015665655.1_36	801	736.299	15	2.32368
lcl|NW_015386080.1_cds_XP_015665766.1_37	1875	1888.06	79	4.77255
lcl|NW_015386080.1_cds_XP_015665881.1_38	1098	1119.56	160	16.3009
lcl|NW_015386080.1_cds_XP_015665994.1_39	1599	1499.28	96	7.30344
lcl|NW_015386080.1_cds_XP_015666064.1_40	1254	1152.11	0	0
lcl|NW_015386080.1_cds_XP_015666249.1_41	930	842.342	156.086	21.1356
lcl|NW_015386080.1_cds_XP_015666179.1_42	930	847.802	489.914	65.9121
lcl|NW_015386080.1_cds_XP_015687256.1_43	1083	1104.26	9	0.929627
lcl|NW_015386080.1_cds_XP_015667143.1_44	354	332.447	561	192.478
lcl|NW_015386080.1_cds_XP_015666359.1_45	450	396.105	240	69.1099
lcl|NW_015386080.1_cds_XP_015666470.1_46	1506	1491.25	2023	154.733
lcl|NW_015386080.1_cds_XP_015687374.1_47	2010	2003.76	1	0.0569239
lcl|NW_015386080.1_cds_XP_015666585.1_48	3540	3754.86	173	5.25523
lcl|NW_015386080.1_cds_XP_015666813.1_49	912	876.326	349	45.4255
lcl|NW_015386080.1_cds_XP_015666700.1_50	933	944.156	386	46.6319
lcl|NW_015386080.1_cds_XP_015666930.1_51	624	595.387	130	24.9048
lcl|NW_015386081.1_cds_XP_015667260.1_52	783	766.849	19	2.82607
