target_id	length	eff_length	est_counts	tpm
lcl|NW_015386077.1_cds_XP_029143084.1_1	1203	1215.83	12	0.716941
lcl|NW_015386077.1_cds_XP_015680198.1_2	4665	4649.76	171	2.6714
lcl|NW_015386077.1_cds_XP_015687298.1_3	696	659.7	0	0
lcl|NW_015386077.1_cds_XP_015665765.1_4	2061	2022.95	0	0
lcl|NW_015386078.1_cds_XP_015666892.1_5	597	558.949	0	0
lcl|NW_015386079.1_cds_XP_029139238.1_6	1026	987.949	0	0
lcl|NW_015386079.1_cds_XP_015672503.1_7	2103	2063.06	27.8641	0.981088
lcl|NW_015386079.1_cds_XP_015674734.1_8	3069	3067.44	195	4.61777
lcl|NW_015386079.1_cds_XP_015673617.1_9	360	349.162	28	5.82513
lcl|NW_015386079.1_cds_XP_015675845.1_10	1059	974.751	25	1.86303
lcl|NW_015386079.1_cds_XP_015676935.1_11	972	996.036	76.1729	5.5552
lcl|NW_015386079.1_cds_XP_015678366.1_12	972	996.036	76.1729	5.5552
lcl|NW_015386079.1_cds_XP_015677654.1_13	864	891.428	152.654	12.4393
lcl|NW_015386079.1_cds_XP_015679465.1_14	2586	2586.83	34.1184	0.958065
lcl|NW_015386079.1_cds_XP_015680546.1_15	420	390.377	574	106.808
lcl|NW_015386079.1_cds_XP_029141162.1_16	1881	1866.48	40	1.55672
lcl|NW_015386079.1_cds_XP_015669140.1_17	573	573.603	11	1.39301
lcl|NW_015386079.1_cds_XP_029142589.1_18	13848	14451.2	4	0.0201063
lcl|NW_015386079.1_cds_XP_015683337.1_19	1833	1823.24	0	0
lcl|NW_015386079.1_cds_XP_015682634.1_20	1836	1843.98	8	0.315144
lcl|NW_015386079.1_cds_XP_015685037.1_21	2289	2377.75	87	2.65783
lcl|NW_015386079.1_cds_XP_015684353.1_22	2340	2428.22	2.26552e-07	6.77725e-09
lcl|NW_015386079.1_cds_XP_015686033.1_23	261	243.11	475	141.927
lcl|NW_015386080.1_cds_XP_015686929.1_24	2136	2225.54	25	0.815981
lcl|NW_015386080.1_cds_XP_015687480.1_25	1008	936.004	135	10.4768
lcl|NW_015386080.1_cds_XP_015687593.1_26	672	667.828	6	0.652621
lcl|NW_015386080.1_cds_XP_015687037.1_27	1671	1715.74	6.25229	0.264705
lcl|NW_015386080.1_cds_XP_015687703.1_28	1362	1300.91	63	3.51776
lcl|NW_015386080.1_cds_XP_015687147.1_29	1422	1444.71	30	1.50839
lcl|NW_015386080.1_cds_XP_029143147.1_30	1566	1570.6	3	0.138749
lcl|NW_015386080.1_cds_XP_015687929.1_31	2682	2868.56	19	0.481132
lcl|NW_015386080.1_cds_XP_015665398.1_32	954	917.904	623.5	49.3416
lcl|NW_015386080.1_cds_XP_015665473.1_33	954	917.904	623.5	49.3416
lcl|NW_015386080.1_cds_XP_015665546.1_34	933	899.317	6.39935e-06	5.16889e-07
lcl|NW_015386080.1_cds_XP_015667036.1_35	654	615.949	0	0
lcl|NW_015386080.1_cds_XP_015665655.1_36	801	740.609	32	3.13859
lcl|NW_015386080.1_cds_XP_015665766.1_37	1875	1934.79	39	1.46422
lcl|NW_015386080.1_cds_XP_015665881.1_38	1098	1118.68	27	1.7532
lcl|NW_015386080.1_cds_XP_015665994.1_39	1599	1512.61	27	1.29662
lcl|NW_015386080.1_cds_XP_015666064.1_40	1254	1155.34	0	0
lcl|NW_015386080.1_cds_XP_015666249.1_41	930	870.023	643	53.6852
lcl|NW_015386080.1_cds_XP_015666179.1_42	930	870.238	0	0
lcl|NW_015386080.1_cds_XP_015687256.1_43	1083	1130.34	4	0.257055
lcl|NW_015386080.1_cds_XP_015667143.1_44	354	335.743	5716	1236.69
lcl|NW_015386080.1_cds_XP_015666359.1_45	450	392.936	413	76.3488
lcl|NW_015386080.1_cds_XP_015666470.1_46	1506	1523.94	192	9.1518
lcl|NW_015386080.1_cds_XP_015687374.1_47	2010	1971.95	0	0
lcl|NW_015386080.1_cds_XP_015666585.1_48	3540	3808.56	20	0.381455
lcl|NW_015386080.1_cds_XP_015666813.1_49	912	895.5	199	16.1422
lcl|NW_015386080.1_cds_XP_015666700.1_50	933	972.366	79	5.90162
lcl|NW_015386080.1_cds_XP_015666930.1_51	624	608.468	141	16.8328
lcl|NW_015386081.1_cds_XP_015667260.1_52	783	781.732	1	0.0929215
lcl|NW_015386081.1_cds_XP_015667488.1_53	1464	1469.39	5	0.247176
lcl|NW_015386081.1_cds_XP_015668016.1_54	2667	2628.95	0	0
lcl|NW_015386081.1_cds_XP_015667600.1_55	2226	2218.26	31	1.01514
lcl|NW_015386081.1_cds_XP_015667716.1_56	471	424.57	2	0.34218
lcl|NW_015386081.1_cds_XP_015667830.1_57	1641	1628.08	38.5906	1.72179
lcl|NW_015386081.1_cds_XP_015667904.1_58	1392	1374.95	10.4094	0.549936
lcl|NW_015386081.1_cds_XP_029139139.1_59	3744	3843.14	1393.02	26.3296
lcl|NW_015386082.1_cds_XP_015668246.1_60	1128	1143.26	39.3915	2.50285
lcl|NW_015386082.1_cds_XP_015668361.1_61	2613	2636.78	371.26	10.2277
lcl|NW_015386082.1_cds_XP_015669141.1_62	1797	1772.97	13	0.532619
lcl|NW_015386082.1_cds_XP_029139423.1_63	2127	2095.4	6	0.207997
lcl|NW_015386082.1_cds_XP_015669253.1_64	1080	1084.28	287.695	19.2737
lcl|NW_015386082.1_cds_XP_015669330.1_65	1062	1058.68	200.305	13.7436
lcl|NW_015386082.1_cds_XP_015668584.1_66	1857	1591.17	26	1.18695
lcl|NW_015386082.1_cds_XP_015668691.1_67	1176	1137.95	0	0
lcl|NW_015386082.1_cds_XP_015671126.1_68	1158	970.966	3	0.224435
lcl|NW_015386082.1_cds_XP_015669447.1_69	2778	2758.03	35	0.921813
lcl|NW_015386082.1_cds_XP_015668804.1_70	1383	1401.92	3	0.155443
lcl|NW_015386082.1_cds_XP_015668918.2_71	684	638.308	4	0.455202
lcl|NW_015386082.1_cds_XP_015671244.1_72	699	692.184	66	6.92623
lcl|NW_015386082.1_cds_XP_015669564.1_73	2109	2138.16	65	2.20824
lcl|NW_015386082.1_cds_XP_015669781.1_74	876	843.882	37	3.18489
lcl|NW_015386082.1_cds_XP_015669671.1_75	1338	1320.23	0	0
lcl|NW_015386082.1_cds_XP_015669891.1_76	1338	1323.51	57	3.12839
lcl|NW_015386082.1_cds_XP_015671357.1_77	420	340.131	14	2.9899
lcl|NW_015386082.1_cds_XP_015670158.1_78	1977	1963.43	17	0.628939
lcl|NW_015386082.1_cds_XP_015670086.1_79	2001	1981.84	0	0
lcl|NW_015386082.1_cds_XP_015670379.1_80	696	657.949	0	0
lcl|NW_015386082.1_cds_XP_015670492.2_81	3033	3006.66	230	5.55672
lcl|NW_015386082.1_cds_XP_029139499.1_82	1353	1314.95	0	0
lcl|NW_015386082.1_cds_XP_015670790.1_83	753	714.949	0	0
lcl|NW_015386082.1_cds_XP_015670603.1_84	1203	1158.62	14	0.877734
lcl|NW_015386082.1_cds_XP_015670680.1_85	1203	1158.62	14	0.877734
lcl|NW_015386082.1_cds_XP_029139857.1_86	1482	1506.48	4	0.192872
lcl|NW_015386082.1_cds_XP_015671471.1_87	1338	1292.46	5	0.281013
lcl|NW_015386082.1_cds_XP_015670900.1_88	1785	1737.51	186	7.77608
lcl|NW_015386082.1_cds_XP_015671013.1_89	1944	1883.58	30	1.15694
lcl|NW_015386083.1_cds_XP_029139962.1_90	2536	2505.19	1	0.0289957
lcl|NW_015386083.1_cds_XP_029140141.1_91	1002	963.949	0	0
lcl|NW_015386083.1_cds_XP_015671651.1_92	909	846.74	56.6937	4.86361
lcl|NW_015386083.1_cds_XP_015671724.1_93	909	846.74	56.6937	4.86361
lcl|NW_015386083.1_cds_XP_015671799.1_94	909	846.74	56.6937	4.86361
lcl|NW_015386083.1_cds_XP_015671876.1_95	909	846.74	56.6937	4.86361
lcl|NW_015386083.1_cds_XP_015671951.1_96	870	803.271	91.2254	8.24951
lcl|NW_015386083.1_cds_XP_015672393.1_97	312	245.589	6.09676	1.80329
lcl|NW_015386083.1_cds_XP_015672062.1_98	381	342.949	0	0
lcl|NW_015386083.1_cds_XP_015672174.1_99	381	302.979	2.01895	0.484047
lcl|NW_015386083.1_cds_XP_015672282.1_100	312	249.583	5.90324	1.7181
lcl|NW_015386084.1_cds_XP_015673057.1_101	501	462.949	0	0
lcl|NW_015386084.1_cds_XP_015672832.1_102	3459	3334.37	29	0.63177
lcl|NW_015386084.1_cds_XP_015673167.1_103	1341	1313.49	14	0.77424
lcl|NW_015386084.1_cds_XP_015673279.1_104	609	524.708	42	5.81442
lcl|NW_015386084.1_cds_XP_015672945.1_105	1050	1018.5	10	0.713205
lcl|NW_015386084.1_cds_XP_015672724.1_106	300	243.726	13	3.8745
lcl|NW_015386085.1_cds_XP_015674175.1_107	1325	1404.58	8	0.413732
lcl|NW_015386085.1_cds_XP_015674246.1_108	1325	1404.58	8	0.413732
lcl|NW_015386085.1_cds_XP_015674319.1_109	1325	1404.58	8	0.413732
lcl|NW_015386085.1_cds_XP_029140317.1_110	1074	1035.95	0	0
lcl|NW_015386085.1_cds_XP_029140492.1_111	2703	2751.58	2	0.0527985
lcl|NW_015386085.1_cds_XP_015674547.1_112	1077	1098.12	2.5	0.165373
lcl|NW_015386085.1_cds_XP_015674621.1_113	1077	1098.12	2.5	0.165373
lcl|NW_015386085.1_cds_XP_015674735.1_114	675	648.533	14867	1665.2
lcl|NW_015386085.1_cds_XP_015674840.1_115	2187	2307.08	267	8.40667
lcl|NW_015386085.1_cds_XP_015673618.1_116	3030	3061.14	69	1.63735
lcl|NW_015386085.1_cds_XP_029140535.1_117	3012	3157.41	2	0.0460122
lcl|NW_015386085.1_cds_XP_015673846.1_118	996	1059.44	25	1.71411
lcl|NW_015386085.1_cds_XP_015673955.1_119	2085	2042.75	174	6.18742
lcl|NW_015386085.1_cds_XP_015674062.2_120	582	543.949	0	0
lcl|NW_015386085.1_cds_XP_029140609.1_121	690	636.676	1	0.114092
lcl|NW_015386085.1_cds_XP_015674950.1_122	3753	3954.77	22	0.404088
lcl|NW_015386085.1_cds_XP_015675064.1_123	1206	1268.01	55	3.15076
lcl|NW_015386086.1_cds_XP_029140660.1_124	1242	1209.76	19	1.14085
lcl|NW_015386086.1_cds_XP_029140683.1_125	2151	2268.47	3	0.0960644
lcl|NW_015386086.1_cds_XP_029140703.1_126	1833	1835.54	4	0.158297
lcl|NW_015386087.1_cds_XP_015676029.1_127	5769	6046.17	38	0.456539
lcl|NW_015386087.1_cds_XP_015676142.1_128	2781	2837.57	152	3.8911
lcl|NW_015386087.1_cds_XP_015678294.1_129	1044	1071.07	0	0
lcl|NW_015386087.1_cds_XP_015678224.1_130	1203	1251.09	6	0.348367
lcl|NW_015386087.1_cds_XP_015676254.1_131	3021	3149.42	29	0.668869
lcl|NW_015386087.1_cds_XP_029140750.1_132	1584	1545.95	0	0
lcl|NW_015386087.1_cds_XP_015676503.1_133	2571	2598.15	49	1.36995
lcl|NW_015386087.1_cds_XP_029140975.1_134	1545	1410.46	180	9.27012
lcl|NW_015386087.1_cds_XP_015676684.1_135	891	891.881	22	1.7918
lcl|NW_015386087.1_cds_XP_015676789.1_136	1569	1599.7	86	3.90512
lcl|NW_015386087.1_cds_XP_015677004.1_137	1983	2058.84	93	3.28122
lcl|NW_015386087.1_cds_XP_015676896.1_138	3864	4055.35	117.777	2.10963
lcl|NW_015386087.1_cds_XP_029141036.1_139	3879	4068.66	5.22322	0.0932527
lcl|NW_015386087.1_cds_XP_015677115.1_140	897	909.47	25	1.99676
